Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,counterbalance-ao9d,Spreadsheet,didyouknow,definition,sampleimages,question,SAMguessed,visualization,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,Response1,Response2,Response3,Response4,image1,training,intro1,intro2,intro3,train_conf1,green_tick,ANSWER1,next,go,cross_mark,ANSWER2,train_conf2,train_conf3,ANSWER3,train_conf4,ANSWER4,train_conf5,ANSWER5,didyouknow,definition,sampleimages,SAMguessed,visualization,question,test,ShowProgressBar,image0,black_arrow,black_arrow3,black_arrow4,black_arrow2,arrow_beam,answer,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10,answer11,answer12,answer13,answer14,answer15,file_name,file_name1,file_name2,file_name3,file_name4,file_name5,file_name6,file_name7,file_name8,file_name9,file_name10,file_name11,file_name12,file_name13,file_name14,file_name15,didyouknow1,didyouknow2,didyouknow3,didyouknow4,didyouknow5,didyouknow6,didyouknow7,didyouknow8,didyouknow9,didyouknow10,didyouknow11,didyouknow12,didyouknow13,didyouknow14,didyouknow15,definition1,definition2,definition3,definition4,definition5,definition6,definition7,definition8,definition9,definition10,definition11,definition12,definition13,definition14,definition15,sampleimages1,sampleimages2,sampleimages3,sampleimages4,sampleimages5,sampleimages6,sampleimages7,sampleimages8,sampleimages9,sampleimages10,sampleimages11,sampleimages12,sampleimages13,sampleimages14,sampleimages15,SAMguessed1,SAMguessed2,SAMguessed3,SAMguessed4,SAMguessed5,SAMguessed6,SAMguessed7,SAMguessed8,SAMguessed9,SAMguessed10,SAMguessed11,SAMguessed12,SAMguessed13,SAMguessed14,SAMguessed15,visualization1,visualization2,visualization3,visualization4,visualization5,visualization6,visualization7,visualization8,visualization9,visualization10,visualization11,visualization12,visualization13,visualization14,visualization15,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10,question11,question12,question13,question14,question15
1,1615396425838,10/03/2021 17:13:45,1615396427403,9,11/03/2021 02:13:47,45332,3,task-hfth,,10831020,98abi0jx,3295911,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.82,1366x768,1366x624,,Natural_GradCAM,50,12,Input,didyouknow$${var},definition$${var},sampleimages$${var},question$${var},SAMguessed$${var},visualization$${var},,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1615396441840,10/03/2021 17:14:01,1615396442287,9,11/03/2021 02:14:02,45332,3,task-hfth,,10831020,98abi0jx,3295911,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.82,1366x768,1366x624,,Natural_GradCAM,50,12,Input,didyouknow$${var},definition$${var},sampleimages$${var},question$${var},SAMguessed$${var},visualization$${var},Input,1,1,1,Screen 1,advancementZone,continue_button,12580.574999912642,,,,,0,1,0,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1615396445055,10/03/2021 17:14:05,1615396446661,9,11/03/2021 02:14:06,45332,3,task-hfth,,10831020,98abi0jx,3295911,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.82,1366x768,1366x624,,Natural_GradCAM,50,12,Input,didyouknow$${var},definition$${var},sampleimages$${var},question$${var},SAMguessed$${var},visualization$${var},Input,1,1,2,Screen 2,advancementZone,continue_button,4347.8949998971075,,,,,0,1,0,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1615396449485,10/03/2021 17:14:09,1615396449632,9,11/03/2021 02:14:09,45332,3,task-hfth,,10831020,98abi0jx,3295911,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.82,1366x768,1366x624,,Natural_GradCAM,50,12,Input,didyouknow$${var},definition$${var},sampleimages$${var},question$${var},SAMguessed$${var},visualization$${var},Input,1,1,3,Screen 3,advancementZone,continue_button,2941.425000084564,,,,,0,1,0,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1615396449834,10/03/2021 17:14:09,1615396451457,9,11/03/2021 02:14:11,45332,3,task-hfth,,10831020,98abi0jx,3295911,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.82,1366x768,1366x624,,Natural_GradCAM,50,12,Input,didyouknow$${var},definition$${var},sampleimages$${var},question$${var},SAMguessed$${var},visualization$${var},Input,1,1,4,Screen 4,advancementZone,continue_button,1807.5299999909475,,,,,0,1,0,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1615396454023,10/03/2021 17:14:14,1615396455661,9,11/03/2021 02:14:15,45332,3,task-hfth,,10831020,98abi0jx,3295911,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.82,1366x768,1366x624,,Natural_GradCAM,50,12,Input,didyouknow$${var},definition$${var},sampleimages$${var},question$${var},SAMguessed$${var},visualization$${var},Input,1,1,5,Screen 5,advancementZone,continue_button,4184.890000033192,,,,,0,1,0,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1615396463064,10/03/2021 17:14:23,1615396463235,9,11/03/2021 02:14:23,45332,3,task-hfth,,10831020,98abi0jx,3295911,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.82,1366x768,1366x624,,Natural_GradCAM,50,12,Input,didyouknow$${var},definition$${var},sampleimages$${var},question$${var},SAMguessed$${var},visualization$${var},Input,2,1,1,Screen 1,advancementZone,continue_button,7287.675000028685,,,,,0,1,0,,,,,,Introduction,Previous,,,,,natural_image_classification.jpeg,,intro1.jpg,intro2.jpg,intro3.jpg,,green_tick.jpg,,,,cross_mark.jpg,,,,,,,,,,,,,,,,,n02099712_n02099712_32_n02099712.jpeg,black_arrow1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1615396464850,10/03/2021 17:14:24,1615396465813,9,11/03/2021 02:14:25,45332,3,task-hfth,,10831020,98abi0jx,3295911,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.82,1366x768,1366x624,,Natural_GradCAM,50,12,Input,didyouknow$${var},definition$${var},sampleimages$${var},question$${var},SAMguessed$${var},visualization$${var},Input,2,1,2,Imagenet,advancementZone,continue_button,2501.395000028424,,,,,0,1,0,,,,,,Introduction,Previous,,,,,natural_image_classification.jpeg,,intro1.jpg,intro2.jpg,intro3.jpg,,green_tick.jpg,,,,cross_mark.jpg,,,,,,,,,,,,,,,,,n02099712_n02099712_32_n02099712.jpeg,black_arrow1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1615396471699,10/03/2021 17:14:31,1615396472561,9,11/03/2021 02:14:32,45332,3,task-hfth,,10831020,98abi0jx,3295911,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.82,1366x768,1366x624,,Natural_GradCAM,50,12,Input,didyouknow$${var},definition$${var},sampleimages$${var},question$${var},SAMguessed$${var},visualization$${var},Input,2,1,3,Screen 2,advancementZone,continue_button,6728.0799999134615,,,,,0,1,0,,,,,,Introduction,Previous,,,,,natural_image_classification.jpeg,,intro1.jpg,intro2.jpg,intro3.jpg,,green_tick.jpg,,,,cross_mark.jpg,,,,,,,,,,,,,,,,,n02099712_n02099712_32_n02099712.jpeg,black_arrow1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1615396478492,10/03/2021 17:14:38,1615396478266,9,11/03/2021 02:14:38,45332,3,task-hfth,,10831020,98abi0jx,3295911,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 89.0.4389.82,1366x768,1366x624,,Natural_GradCAM,50,12,Input,didyouknow$${var},definition$${var},sampleimages$${var},question$${var},SAMguessed$${var},visualization$${var},Input,2,1,4,Screen 3,advancementZone,continue_button,5682.34499997925,,,,,0,1,0,,,,,,Introduction,Previous,,,,,natural_image_classification.jpeg,,intro1.jpg,intro2.jpg,intro3.jpg,,green_tick.jpg,,,,cross_mark.jpg,,,,,,,,,,,,,,,,,n02099712_n02099712_32_n02099712.jpeg,black_arrow1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
